m.09gjxn	 people person education	m.02zd2b
m.0c05l9	 business company parent	m.035nm
m.0mfj2	 people person ethnicity	m.044038p
m.025mq9	 people person nationality	m.09c7w0
m.03ksy	 education education institution	m.03cjksn
m.06pwq	 education education institution	m.037mh8
m.0jm4b	 sports sports team roster	m.06plbn
m.026qnnq	 people person nationality	m.027rn
m.0f2s6	 people place lived location	m.06smz8
m.05kkh	 people place lived location	m.039tvl
m.0dzkq	 influence influence node influenced by	m.099bk
m.0498750	 location location containedby	m.04rrd
m.0cyhq	 people person nationality	m.09c7w0
m.02rmdls	 people person nationality	m.09c7w0
m.0c6qh	 base popstra vacation choice vacationer	m.035qy
m.012s5j	 base popstra legal dispute plaintiff	m.01k5zk
m.047lj	 olympics olympic medal honor country	m.046q58
m.081mh	 location location contains	m.04c6byr
m.0d060g	 location location contains	m.05z5tt
m.04bxcpd	 location location containedby	m.07b_l
m.010w43	 people place lived location	m.025bdx
m.01l7y	 influence influence node influenced by	m.0683n
m.0d05w3	 film film regional release date film release region	m.03q0r1
m.0ks0tg	 people person profession	m.02y5kn
m.0f17gc	 sports pro athlete teams	m.0289q
m.0g_87	 people person education	m.07tg4
m.02k54	 location location partiallycontains	m.01w1vt
m.0221g_	 education educational institution students graduates	m.087t5c
m.030h60	 people person place lived	m.01smm
m.09c7w0	 location location contains	m.017v3q
m.048nqqt	 location location containedby	m.0cb4j
m.03wx1m	 people person ethnicity	m.0x67
m.09c7w0	 location mailing address citytown	m.01bk1y
m.02896	 sports sports team roster	m.0dr5g9
m.0n58p	 location location contains	m.0xs_9
m.07z1m	 location location contains	m.04c1xqx
m.0ks67	 education education institution	m.01l9c3z
m.09z95c	 people person profession	m.02y5kn
m.03rh7_	 people person place lived	m.0yc7f
m.0b9l0r	 people person place of birth	m.03rk0
m.0cwx_	 business employer employees	m.0gcsrk
m.013gtk	 location location containedby	m.04ych
m.0c296	 film performance film	m.04rvb8
m.02pqc6	 people person ethnicity	m.041rx
m.06pvr	 location location contains	m.05ckqy
m.01ctnp	 people person religion	m.03_gx
m.01kznw	 people deceased person place of death	m.0d6yv
m.0x67	 people ethnicity people	m.03hl4cf
m.02zv09	 education education student	m.04zwc
m.07hyk	 influence influence node influenced	m.02kz_
m.01rd0g	 influence influence node influenced	m.0dvns
m.02qhlwd	 film performance film	m.0c04_m
m.01fqg5	 business company headquarters	m.059rby
m.02zh95	 sports sports team roster player	m.05g49
m.0g14qw	 baseball baseball player batting stats	m.01ypc
m.0b1pph	 people person place of birth	m.0hz35
m.07vt2r	 people person nationality	m.09c7w0
m.0pbzx	 location location containedby	m.05tbn
m.02w_x8j	 business company headquarters	m.059rby
m.02hg53	 military military posting person	m.02zfn9
m.0sf9_	 location location people born here	m.01v3vp
m.02371s	 location neighborhood neighborhood of	m.02_286
m.0271kl8	 people person place of birth	m.07dfk
m.01c_d	 sports sports team roster team	m.09p_gm
m.0f__1	 location mailing address citytown	m.09b6t
m.03q7hh4	 people person spouse s	m.01jkqw
m.01_xqj	 film actor film	m.0571m
m.02dqgj	 people person place lived	m.0cc56
m.02nrqjz	 tv non character role tv regular personal appearances	m.016gkf
m.07d3fs	 film film country	m.0345h
m.04d2yp	 people person place of birth	m.01k8pt
m.0gyh	 location location contains	m.0qbty
m.06s_2	 base popstra vacation choice location	m.095b70
m.026mj	 government governmental jurisdiction governing officials	m.024pq4
